epoch,examples,seconds,loss,accuracy,val_loss,val_accuracy
1,5915,187,0.1130,0.9257,0.0967,0.9351
2,5915,193,0.0950,0.9313,0.0895,0.9352
3,5915,190,0.0904,0.9317,0.0881,0.9344
4,5915,188,0.0871,0.9321,0.0861,0.9355
5,5915,178,0.0843,0.9333,0.0838,0.9353
6,5915,181,0.0824,0.9332,0.0832,0.9349
7,5915,185,0.0783,0.9351,0.0827,0.9354
8,5915,186,0.0760,0.9359,0.0848,0.9323
9,5915,187,0.0734,0.9374,0.0868,0.9316
10,5915,185,0.0703,0.9389,0.0873,0.9333
11,5915,186,0.0669,0.9405,0.0875,0.9342
12,5915,185,0.0642,0.9426,0.0934,0.9326
13,5915,184,0.0592,0.9450,0.0947,0.9351
14,5915,186,0.0558,0.9473,0.0959,0.9339
15,5915,186,0.0528,0.9503,0.0972,0.9317
16,5915,187,0.0488,0.9535,0.1032,0.9317
17,5915,184,0.0465,0.9552,0.1009,0.9286
18,5915,186,0.0420,0.9589,0.1080,0.9295
19,5915,187,0.0389,0.9618,0.1103,0.9253
20,5915,184,0.0354,0.9650,0.1179,0.9277
21,5915,187,0.0326,0.9674,0.1205,0.9266
22,5915,187,0.0295,0.9706,0.1278,0.9266
23,5915,185,0.0311,0.9688,0.1284,0.9248
24,5915,185,0.0288,0.9717,0.1310,0.9228
25,5915,187,0.0246,0.9757,0.1367,0.9244
26,5915,186,0.0219,0.9782,0.1450,0.9234
27,5915,185,0.0206,0.9798,0.1478,0.9238
28,5915,186,0.0200,0.9799,0.1481,0.9194
29,5915,186,0.0210,0.9787,0.1507,0.9223
30,5915,186,0.0212,0.9787,0.1545,0.9211
31,5915,186,0.0183,0.9818,0.1592,0.9244
32,5915,187,0.0154,0.9846,0.1569,0.9240
33,5915,186,0.0146,0.9857,0.1620,0.9246
34,5915,184,0.0138,0.9861,0.1703,0.9228
35,5915,186,0.0128,0.9874,0.1731,0.9247
36,5915,185,0.0125,0.9880,0.1708,0.9191
37,5915,186,0.0117,0.9887,0.1764,0.9250
38,5915,184,0.0111,0.9892,0.1814,0.9232
39,5915,188,0.0109,0.9893,0.1792,0.9222
40,5915,186,0.0133,0.9864,0.1801,0.9226
41,5915,184,0.0127,0.9875,0.1759,0.9180
42,5915,187,0.0107,0.9894,0.1811,0.9239
43,5915,186,0.0093,0.9910,0.1871,0.9236
44,5915,187,0.0086,0.9916,0.1916,0.9250
45,5915,185,0.0087,0.9917,0.1903,0.9241
46,5915,188,0.0113,0.9882,0.1951,0.9172
47,5915,186,0.0133,0.9857,0.1865,0.9125
48,5915,186,0.0136,0.9861,0.1908,0.9193
49,5915,188,0.0104,0.9896,0.1927,0.9239
50,5915,188,0.0078,0.9925,0.1929,0.9228
